Date,Time,Trade No.,Price,Effect,Legs
7/23/2014,2:45:00 PM CDT,36,0.78,credit,"sell to open 1 x $195 put exp. 8/29/2014 (37 DTE); buy to open 1 x $189.5 put exp. 8/29/2014 (37 DTE)"
8/8/2014,2:45:00 PM CDT,36,1.97,debit,"buy to close 1 x $195 put exp. 8/29/2014 (21 DTE); sell to close 1 x $189.5 put exp. 8/29/2014 (21 DTE)"
8/8/2014,2:45:00 PM CDT,37,1.12,credit,"sell to open 1 x $187 put exp. 9/20/2014 (43 DTE); buy to open 1 x $180 put exp. 9/20/2014 (43 DTE)"
8/14/2014,2:45:00 PM CDT,37,0.51,debit,"buy to close 1 x $187 put exp. 9/20/2014 (37 DTE); sell to close 1 x $180 put exp. 9/20/2014 (37 DTE)"
8/14/2014,2:45:00 PM CDT,38,1.13,credit,"sell to open 1 x $191 put exp. 9/30/2014 (47 DTE); buy to open 1 x $183 put exp. 9/30/2014 (47 DTE)"
8/22/2014,2:45:00 PM CDT,38,0.52,debit,"buy to close 1 x $191 put exp. 9/30/2014 (39 DTE); sell to close 1 x $183 put exp. 9/30/2014 (39 DTE)"
8/22/2014,2:45:00 PM CDT,39,0.72,credit,"sell to open 1 x $194.5 put exp. 10/3/2014 (42 DTE); buy to open 1 x $189.5 put exp. 10/3/2014 (42 DTE)"
9/12/2014,2:45:00 PM CDT,39,0.6,debit,"buy to close 1 x $194.5 put exp. 10/3/2014 (21 DTE); sell to close 1 x $189.5 put exp. 10/3/2014 (21 DTE)"
9/12/2014,2:45:00 PM CDT,40,0.85,credit,"sell to open 1 x $193.5 put exp. 10/24/2014 (42 DTE); buy to open 1 x $187.5 put exp. 10/24/2014 (42 DTE)"
10/3/2014,2:45:00 PM CDT,40,0.91,debit,"buy to close 1 x $193.5 put exp. 10/24/2014 (21 DTE); sell to close 1 x $187.5 put exp. 10/24/2014 (21 DTE)"
10/3/2014,2:45:00 PM CDT,41,0.76,credit,"sell to open 1 x $191.5 put exp. 11/14/2014 (42 DTE); buy to open 1 x $187 put exp. 11/14/2014 (42 DTE)"
10/24/2014,2:45:00 PM CDT,41,0.63,debit,"buy to close 1 x $191.5 put exp. 11/14/2014 (21 DTE); sell to close 1 x $187 put exp. 11/14/2014 (21 DTE)"
10/24/2014,2:45:00 PM CDT,42,1.02,credit,"sell to open 1 x $191 put exp. 12/5/2014 (42 DTE); buy to open 1 x $185 put exp. 12/5/2014 (42 DTE)"
10/31/2014,2:45:00 PM CDT,42,0.39,debit,"buy to close 1 x $191 put exp. 12/5/2014 (35 DTE); sell to close 1 x $185 put exp. 12/5/2014 (35 DTE)"
10/31/2014,2:45:00 PM CDT,43,0.97,credit,"sell to open 1 x $196.5 put exp. 12/12/2014 (42 DTE); buy to open 1 x $190 put exp. 12/12/2014 (42 DTE)"
11/11/2014,2:45:00 PM CST,43,0.45,debit,"buy to close 1 x $196.5 put exp. 12/12/2014 (31 DTE); sell to close 1 x $190 put exp. 12/12/2014 (31 DTE)"
11/11/2014,2:45:00 PM CST,44,0.91,credit,"sell to open 1 x $198.5 put exp. 12/26/2014 (45 DTE); buy to open 1 x $192.5 put exp. 12/26/2014 (45 DTE)"
11/24/2014,2:45:00 PM CST,44,0.38,debit,"buy to close 1 x $198.5 put exp. 12/26/2014 (32 DTE); sell to close 1 x $192.5 put exp. 12/26/2014 (32 DTE)"
11/24/2014,2:45:00 PM CST,45,0.87,credit,"sell to open 1 x $202.5 put exp. 1/2/2015 (39 DTE); buy to open 1 x $196 put exp. 1/2/2015 (39 DTE)"
12/12/2014,2:45:00 PM CST,45,2.25,debit,"buy to close 1 x $202.5 put exp. 1/2/2015 (21 DTE); sell to close 1 x $196 put exp. 1/2/2015 (21 DTE)"
12/12/2014,2:45:00 PM CST,46,0.77,credit,"sell to open 1 x $193.5 put exp. 1/23/2015 (42 DTE); buy to open 1 x $186 put exp. 1/23/2015 (42 DTE)"
12/17/2014,2:45:00 PM CST,46,0.34,credit,"buy to close 1 x $193.5 put exp. 1/23/2015 (37 DTE); sell to close 1 x $186 put exp. 1/23/2015 (37 DTE)"
12/17/2014,2:45:00 PM CST,47,1.4,credit,"sell to open 1 x $194.5 put exp. 1/30/2015 (44 DTE); buy to open 1 x $185 put exp. 1/30/2015 (44 DTE)"
12/19/2014,2:45:00 PM CST,47,0.61,debit,"buy to close 1 x $194.5 put exp. 1/30/2015 (42 DTE); sell to close 1 x $185 put exp. 1/30/2015 (42 DTE)"
12/19/2014,2:45:00 PM CST,48,1.1,credit,"sell to open 1 x $201.5 put exp. 1/30/2015 (42 DTE); buy to open 1 x $194 put exp. 1/30/2015 (42 DTE)"
1/9/2015,2:45:00 PM CST,48,1.22,debit,"buy to close 1 x $201.5 put exp. 1/30/2015 (21 DTE); sell to close 1 x $194 put exp. 1/30/2015 (21 DTE)"
1/9/2015,2:45:00 PM CST,49,1.39,credit,"sell to open 1 x $199 put exp. 2/20/2015 (42 DTE); buy to open 1 x $190 put exp. 2/20/2015 (42 DTE)"
1/30/2015,2:45:00 PM CST,49,2.24,debit,"buy to close 1 x $199 put exp. 2/20/2015 (21 DTE); sell to close 1 x $190 put exp. 2/20/2015 (21 DTE)"
2/2/2015,2:45:00 PM CST,50,1.65,credit,"sell to open 1 x $195 put exp. 3/20/2015 (46 DTE); buy to open 1 x $184 put exp. 3/20/2015 (46 DTE)"
2/12/2015,2:45:00 PM CST,50,0.53,debit,"buy to close 1 x $195 put exp. 3/20/2015 (36 DTE); sell to close 1 x $184 put exp. 3/20/2015 (36 DTE)"
2/12/2015,2:45:00 PM CST,51,1.37,credit,"sell to open 1 x $203 put exp. 3/31/2015 (47 DTE); buy to open 1 x $194 put exp. 3/31/2015 (47 DTE)"
3/2/2015,2:45:00 PM CST,51,0.5,debit,"buy to close 1 x $203 put exp. 3/31/2015 (29 DTE); sell to close 1 x $194 put exp. 3/31/2015 (29 DTE)"
3/2/2015,2:45:00 PM CST,52,1.13,credit,"sell to open 1 x $207 put exp. 4/17/2015 (46 DTE); buy to open 1 x $200 put exp. 4/17/2015 (46 DTE)"
3/27/2015,2:45:00 PM CDT,52,2.14,debit,"buy to close 1 x $207 put exp. 4/17/2015 (21 DTE); sell to close 1 x $200 put exp. 4/17/2015 (21 DTE)"
3/27/2015,2:45:00 PM CDT,53,1.13,credit,"sell to open 1 x $200 put exp. 5/8/2015 (42 DTE); buy to open 1 x $193 put exp. 5/8/2015 (42 DTE)"
4/9/2015,2:45:00 PM CDT,53,0.49,debit,"buy to close 1 x $200 put exp. 5/8/2015 (29 DTE); sell to close 1 x $193 put exp. 5/8/2015 (29 DTE)"
4/9/2015,2:45:00 PM CDT,54,1.15,credit,"sell to open 1 x $204 put exp. 5/22/2015 (43 DTE); buy to open 1 x $196.5 put exp. 5/22/2015 (43 DTE)"
4/24/2015,2:45:00 PM CDT,54,0.5,debit,"buy to close 1 x $204 put exp. 5/22/2015 (28 DTE); sell to close 1 x $196.5 put exp. 5/22/2015 (28 DTE)"
4/24/2015,2:45:00 PM CDT,55,0.96,credit,"sell to open 1 x $207 put exp. 6/5/2015 (42 DTE); buy to open 1 x $200.5 put exp. 6/5/2015 (42 DTE)"
5/15/2015,2:45:00 PM CDT,55,0.52,debit,"buy to close 1 x $207 put exp. 6/5/2015 (21 DTE); sell to close 1 x $200.5 put exp. 6/5/2015 (21 DTE)"
5/15/2015,2:45:00 PM CDT,56,1.12,credit,"sell to open 1 x $207 put exp. 6/30/2015 (46 DTE); buy to open 1 x $200 put exp. 6/30/2015 (46 DTE)"
6/9/2015,2:45:00 PM CDT,56,1.66,debit,"buy to close 1 x $207 put exp. 6/30/2015 (21 DTE); sell to close 1 x $200 put exp. 6/30/2015 (21 DTE)"
6/9/2015,2:45:00 PM CDT,57,1.24,credit,"sell to open 1 x $202.5 put exp. 7/24/2015 (45 DTE); buy to open 1 x $195.5 put exp. 7/24/2015 (45 DTE)"
6/18/2015,2:45:00 PM CDT,57,0.57,debit,"buy to close 1 x $202.5 put exp. 7/24/2015 (36 DTE); sell to close 1 x $195.5 put exp. 7/24/2015 (36 DTE)"
6/18/2015,2:45:00 PM CDT,58,1.05,credit,"sell to open 1 x $207 put exp. 7/31/2015 (43 DTE); buy to open 1 x $200.5 put exp. 7/31/2015 (43 DTE)"
7/10/2015,2:45:00 PM CDT,58,1.61,debit,"buy to close 1 x $207 put exp. 7/31/2015 (21 DTE); sell to close 1 x $200.5 put exp. 7/31/2015 (21 DTE)"
7/10/2015,2:45:00 PM CDT,59,1.27,credit,"sell to open 1 x $202 put exp. 8/21/2015 (42 DTE); buy to open 1 x $194 put exp. 8/21/2015 (42 DTE)"
7/16/2015,2:45:00 PM CDT,59,0.45,debit,"buy to close 1 x $202 put exp. 8/21/2015 (36 DTE); sell to close 1 x $194 put exp. 8/21/2015 (36 DTE)"
7/16/2015,2:45:00 PM CDT,60,0.99,credit,"sell to open 1 x $207.5 put exp. 8/28/2015 (43 DTE); buy to open 1 x $200.5 put exp. 8/28/2015 (43 DTE)"
8/7/2015,2:45:00 PM CDT,60,1.59,debit,"buy to close 1 x $207.5 put exp. 8/28/2015 (21 DTE); sell to close 1 x $200.5 put exp. 8/28/2015 (21 DTE)"
8/7/2015,2:45:00 PM CDT,61,1.08,credit,"sell to open 1 x $202 put exp. 9/18/2015 (42 DTE); buy to open 1 x $196 put exp. 9/18/2015 (42 DTE)"
8/28/2015,2:45:00 PM CDT,61,2.58,debit,"buy to close 1 x $202 put exp. 9/18/2015 (21 DTE); sell to close 1 x $196 put exp. 9/18/2015 (21 DTE)"
8/28/2015,2:45:00 PM CDT,62,1.75,credit,"sell to open 1 x $190.5 put exp. 10/9/2015 (42 DTE); buy to open 1 x $180 put exp. 10/9/2015 (42 DTE)"
9/18/2015,2:45:00 PM CDT,62,1.56,debit,"buy to close 1 x $190.5 put exp. 10/9/2015 (21 DTE); sell to close 1 x $180 put exp. 10/9/2015 (21 DTE)"
9/18/2015,2:45:00 PM CDT,63,1.9,credit,"sell to open 1 x $190 put exp. 10/30/2015 (42 DTE); buy to open 1 x $180 put exp. 10/30/2015 (42 DTE)"
10/7/2015,2:45:00 PM CDT,63,0.72,debit,"buy to close 1 x $190 put exp. 10/30/2015 (23 DTE); sell to close 1 x $180 put exp. 10/30/2015 (23 DTE)"
10/7/2015,2:45:00 PM CDT,64,1.41,credit,"sell to open 1 x $193 put exp. 11/20/2015 (44 DTE); buy to open 1 x $185 put exp. 11/20/2015 (44 DTE)"
10/16/2015,2:45:00 PM CDT,64,0.62,debit,"buy to close 1 x $193 put exp. 11/20/2015 (35 DTE); sell to close 1 x $185 put exp. 11/20/2015 (35 DTE)"
10/16/2015,2:45:00 PM CDT,65,1.21,credit,"sell to open 1 x $198 put exp. 11/27/2015 (42 DTE); buy to open 1 x $190 put exp. 11/27/2015 (42 DTE)"
10/28/2015,2:45:00 PM CDT,65,0.45,debit,"buy to close 1 x $198 put exp. 11/27/2015 (30 DTE); sell to close 1 x $190 put exp. 11/27/2015 (30 DTE)"
10/29/2015,2:45:00 PM CDT,66,1.09,credit,"sell to open 1 x $203.5 put exp. 12/11/2015 (43 DTE); buy to open 1 x $196.5 put exp. 12/11/2015 (43 DTE)"
11/20/2015,2:45:00 PM CST,66,0.7,debit,"buy to close 1 x $203.5 put exp. 12/11/2015 (21 DTE); sell to close 1 x $196.5 put exp. 12/11/2015 (21 DTE)"
11/20/2015,2:45:00 PM CST,67,0.91,credit,"sell to open 1 x $203 put exp. 12/31/2015 (41 DTE); buy to open 1 x $198 put exp. 12/31/2015 (41 DTE)"
12/10/2015,2:45:00 PM CST,67,1.29,debit,"buy to close 1 x $203 put exp. 12/31/2015 (21 DTE); sell to close 1 x $198 put exp. 12/31/2015 (21 DTE)"
12/10/2015,2:45:00 PM CST,68,1.19,credit,"sell to open 1 x $197.5 put exp. 1/22/2016 (43 DTE); buy to open 1 x $190 put exp. 1/22/2016 (43 DTE)"
12/29/2015,2:45:00 PM CST,68,0.45,debit,"buy to close 1 x $197.5 put exp. 1/22/2016 (24 DTE); sell to close 1 x $190 put exp. 1/22/2016 (24 DTE)"
12/29/2015,2:45:00 PM CST,69,1.27,credit,"sell to open 1 x $201 put exp. 2/19/2016 (52 DTE); buy to open 1 x $193 put exp. 2/19/2016 (52 DTE)"
1/29/2016,2:45:00 PM CST,69,4.91,debit,"buy to close 1 x $201 put exp. 2/19/2016 (21 DTE); sell to close 1 x $193 put exp. 2/19/2016 (21 DTE)"
1/29/2016,2:45:00 PM CST,70,1.39,credit,"sell to open 1 x $186.5 put exp. 3/11/2016 (42 DTE); buy to open 1 x $178 put exp. 3/11/2016 (42 DTE)"
2/19/2016,2:45:00 PM CST,70,1.13,debit,"buy to close 1 x $186.5 put exp. 3/11/2016 (21 DTE); sell to close 1 x $178 put exp. 3/11/2016 (21 DTE)"
2/19/2016,2:45:00 PM CST,71,1.58,credit,"sell to open 1 x $184.5 put exp. 4/1/2016 (42 DTE); buy to open 1 x $175 put exp. 4/1/2016 (42 DTE)"
3/1/2016,2:45:00 PM CST,71,0.61,debit,"buy to close 1 x $184.5 put exp. 4/1/2016 (31 DTE); sell to close 1 x $175 put exp. 4/1/2016 (31 DTE)"
3/1/2016,2:45:00 PM CST,72,1.52,credit,"sell to open 1 x $191 put exp. 4/15/2016 (45 DTE); buy to open 1 x $182 put exp. 4/15/2016 (45 DTE)"
3/14/2016,2:45:00 PM CDT,72,0.68,debit,"buy to close 1 x $191 put exp. 4/15/2016 (32 DTE); sell to close 1 x $182 put exp. 4/15/2016 (32 DTE)"
3/14/2016,2:45:00 PM CDT,73,1.42,credit,"sell to open 1 x $195 put exp. 4/29/2016 (46 DTE); buy to open 1 x $185 put exp. 4/29/2016 (46 DTE)"
3/29/2016,2:45:00 PM CDT,73,0.52,debit,"buy to close 1 x $195 put exp. 4/29/2016 (31 DTE); sell to close 1 x $185 put exp. 4/29/2016 (31 DTE)"
3/29/2016,2:45:00 PM CDT,74,1.12,credit,"sell to open 1 x $199 put exp. 5/20/2016 (52 DTE); buy to open 1 x $192 put exp. 5/20/2016 (52 DTE)"
4/18/2016,2:45:00 PM CDT,74,0.42,debit,"buy to close 1 x $199 put exp. 5/20/2016 (32 DTE); sell to close 1 x $192 put exp. 5/20/2016 (32 DTE)"
4/18/2016,2:45:00 PM CDT,75,1.07,credit,"sell to open 1 x $205 put exp. 5/27/2016 (39 DTE); buy to open 1 x $198 put exp. 5/27/2016 (39 DTE)"
5/6/2016,2:45:00 PM CDT,75,1.65,debit,"buy to close 1 x $205 put exp. 5/27/2016 (21 DTE); sell to close 1 x $198 put exp. 5/27/2016 (21 DTE)"
5/6/2016,2:45:00 PM CDT,76,1.25,credit,"sell to open 1 x $200 put exp. 6/17/2016 (42 DTE); buy to open 1 x $193 put exp. 6/17/2016 (42 DTE)"
5/24/2016,2:45:00 PM CDT,76,0.55,debit,"buy to close 1 x $200 put exp. 6/17/2016 (24 DTE); sell to close 1 x $193 put exp. 6/17/2016 (24 DTE)"
